id,title,description,vendor,product_type,tags,handle,link,image_link,price,currency,availability,condition,brand,category
beambox-nikko-e-badge-silver,Beambox Nikko E-Badge - Silver,"Beambox Nikko E-Badge is the main Beambox wearable display badge for events, QR codes, booth staff, trade shows, brand activation, cosplay, creators, and digital identity. Variant: Silver. Price: $36.80 USD. Key search terms: electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge.",Beambox,Electronic Badge,"electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge",beambox-nikko-e-badge,https://beambox.com.cn/products/beambox-nikko-e-badge?variant=44602585153570,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/20260107113652_371_1952.png?v=1767757241,36.80,USD,in stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-nikko-e-badge-purple,Beambox Nikko E-Badge - Purple,"Beambox Nikko E-Badge is the main Beambox wearable display badge for events, QR codes, booth staff, trade shows, brand activation, cosplay, creators, and digital identity. Variant: Purple. Price: $36.80 USD. Key search terms: electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge.",Beambox,Electronic Badge,"electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge",beambox-nikko-e-badge,https://beambox.com.cn/products/beambox-nikko-e-badge?variant=44716773376034,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/20260107113708_372_1952.jpg?v=1767757241,36.80,USD,in stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-nikko-e-badge-orange,Beambox Nikko E-Badge - Orange,"Beambox Nikko E-Badge is the main Beambox wearable display badge for events, QR codes, booth staff, trade shows, brand activation, cosplay, creators, and digital identity. Variant: Orange. Price: $36.80 USD. Key search terms: electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge.",Beambox,Electronic Badge,"electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge",beambox-nikko-e-badge,https://beambox.com.cn/products/beambox-nikko-e-badge?variant=44716773408802,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/20260107113722_373_1952.png?v=1767757241,36.80,USD,out of stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-nikko-e-badge-green,Beambox Nikko E-Badge - Green,"Beambox Nikko E-Badge is the main Beambox wearable display badge for events, QR codes, booth staff, trade shows, brand activation, cosplay, creators, and digital identity. Variant: Green. Price: $36.80 USD. Key search terms: electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge.",Beambox,Electronic Badge,"electronic badge, smart badge, wearable display badge, QR code badge, event badge, trade show badge, booth staff badge, creator badge, Beambox Nikko, e-badge",beambox-nikko-e-badge,https://beambox.com.cn/products/beambox-nikko-e-badge?variant=45080359829538,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/NN_E-badge_green.jpg?v=1768879001,36.80,USD,out of stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-green-standard-no-tracking,Beambox Nano E-Badge - Green / Standard (No Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Green / Standard (No Tracking). Price: $32.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44475231698978,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/2_674b0152-5c9a-4241-b329-96d72c4dcd3a.jpg?v=1761889426,32.80,USD,in stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-green-airtag-compatible-tracking,Beambox Nano E-Badge - Green / AirTag-Compatible (Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Green / AirTag-Compatible (Tracking). Price: $45.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44716780486690,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/2_674b0152-5c9a-4241-b329-96d72c4dcd3a.jpg?v=1761889426,45.80,USD,out of stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-blue-standard-no-tracking,Beambox Nano E-Badge - Blue / Standard (No Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Blue / Standard (No Tracking). Price: $32.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44475231731746,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/1_af808316-e734-413b-8b00-d29d253c972f.jpg?v=1761889426,32.80,USD,in stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-blue-airtag-compatible-tracking,Beambox Nano E-Badge - Blue / AirTag-Compatible (Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Blue / AirTag-Compatible (Tracking). Price: $45.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44716780519458,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/1_af808316-e734-413b-8b00-d29d253c972f.jpg?v=1761889426,45.80,USD,out of stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-purple-standard-no-tracking,Beambox Nano E-Badge - Purple / Standard (No Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Purple / Standard (No Tracking). Price: $32.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44475231764514,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/3_6526cee5-7a21-46bd-82d4-8d849d494f89.jpg?v=1761889426,32.80,USD,in stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
beambox-e-badge-nano-purple-airtag-compatible-tracking,Beambox Nano E-Badge - Purple / AirTag-Compatible (Tracking),"Beambox Nano E-Badge is a compact electronic badge, digital pin, and wearable display badge for fan art, creator communities, anime conventions, K-pop events, cosplay, and everyday expression. Variant: Purple / AirTag-Compatible (Tracking). Price: $45.80 USD. Key search terms: Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge.",Beambox,Electronic Badge,"Beambox pin, Nano e-badge, compact electronic badge, digital pin, fan art badge, creator badge, wearable display badge, smart badge, e-badge",beambox-e-badge-nano,https://beambox.com.cn/products/beambox-e-badge-nano?variant=44716780552226,https://cdn.shopify.com/s/files/1/0828/7115/6770/files/3_6526cee5-7a21-46bd-82d4-8d849d494f89.jpg?v=1761889426,45.80,USD,out of stock,new,Beambox,Electronics > Wearable Technology > Smart Badges
